Component Name,Quantity,Link,Purpose,Total Cost (USD),Distributor
100nF Ceramic Capacitor 0402 X7R,40,https://www.lcsc.com/product-detail/C307331.html,Decoupling capacitor — one placed directly at VCC pin of every IC — kills power supply noise before it contaminates EMG signal path — critical for analog section,1.03,LCSC / JLCPCB
10µF Ceramic Capacitor 0402 X5R,20,https://www.lcsc.com/product-detail/C19702.html,Bulk decoupling on 3.3V and 5V rails — filters low-frequency ripple from boost converter switching — placed at rail entry to each zone,1.03,LCSC / JLCPCB
1µF Ceramic Capacitor 0402 X5R,16,https://www.lcsc.com/product-detail/C52923.html,Mid-frequency decoupling and AC coupling capacitors in AD8232 input filter network — one pair per EMG channel input,0.32,LCSC / JLCPCB
100pF Ceramic Capacitor 0402 C0G,10,https://www.lcsc.com/product-detail/C1591.html,High-frequency filter capacitors in EMG analog signal chain — placed on AD8232 output traces to suppress RF pickup,0.1,LCSC / JLCPCB
10nF Ceramic Capacitor 0402 X7R,16,https://www.lcsc.com/product-detail/C57112.html,AC coupling capacitors at AD8232 IN+ and IN? inputs — one pair per channel — blocks DC skin potential while passing EMG signal band,0.16,LCSC / JLCPCB
2.2µH Power Inductor 0403 2A,2,https://www.lcsc.com/product-detail/C408533.html,TPS61023 boost converter switching inductor — 2A saturation current — low DCR — 0403 SMD package — stores and releases energy during boost conversion cycle,0.7,LCSC / JLCPCB
10M OHM Resistor 0402 1%,16,https://www.lcsc.com/product-detail/C25856.html,AD8232 input bias resistors — 2 per channel — 4 channels — provides DC path to set input common mode voltage while presenting negligible load to electrode signal,1.61,LCSC / JLCPCB
330k OHM Resistor 0402 1%,8,https://www.lcsc.com/product-detail/C25771.html,AD8232 right leg drive output resistor — one per channel — limits current through reference electrode to safe levels while maintaining common mode rejection,1.61,LCSC / JLCPCB
10k OHM Resistor 0402 1%,12,https://www.lcsc.com/product-detail/C25744.html,MCP73831 PROG pin charge rate set — I2C line termination — boost converter feedback voltage divider — general purpose bias,1.61,LCSC / JLCPCB
20k OHM Resistor 0402 1%,4,https://www.lcsc.com/product-detail/C25766.html,TPS61023 feedback voltage divider lower leg — sets VOUT to 5.0V — precision 1% tolerance required for accurate output voltage,1.61,LCSC / JLCPCB
4.7k OHM Resistor 0402 1%,8,https://www.lcsc.com/product-detail/C25756.html,I2C pull-up resistors on SDA and SCL lines for BNO055 and DRV2605L — standard 4.7k value for 3.3V I2C at standard speed,1.61,LCSC / JLCPCB
1k OHM Resistor 0402 5%,8,https://www.lcsc.com/product-detail/C21190.html,Current limiting resistors for RGB status LEDs — sets LED current to approximately 2.3mA at 3.3V — prevents LED burnout,1.61,LCSC / JLCPCB
100k OHM Resistor 0402 1%,4,https://www.lcsc.com/product-detail/C25803.html,INA333 gain setting resistors — sets differential amplifier gain for channels 3 and 4 — precision 1% required for accurate gain,1.61,LCSC / JLCPCB
RGB LED 0402 Common Cathode,6,https://www.lcsc.com/product-detail/C2286.html,Status indicators — 3 LEDs per board — blue pulse for BLE connected — red for electrode disconnected — green for gesture detected — driven directly from ESP32-S3 GPIO,1,LCSC / JLCPCB
Active Piezo Buzzer SMD 5V,2,https://www.lcsc.com/product-detail/C96093.html,Audible gesture confirmation alert — 85dB — 2.7kHz — active type requires no driver — direct GPIO27 drive through 1k resistor — signals caregiver of incoming message,1,LCSC / JLCPCB
USB-C 5-Pin SMD Connector,2,https://www.lcsc.com/product-detail/C2765186.html,5V power input for MCP73831 battery charging circuit — flush-mount SMD shell — center-mounted on short PCB edge,1,LCSC / JLCPCB
2.54mm 6-Pin Male Header THT,2,https://www.lcsc.com/product-detail/C49257.html,Programming and debug header — TX RX EN IO0 3V3 GND — connects to external USB-UART adapter for ESP32-S3 firmware flashing — also used for UART debug output during development,1,LCSC / JLCPCB
ERM Haptic Motor 3V 10mm Diameter,2,https://www.amazon.in/s?k=ERM+haptic+vibration+motor+10mm+3V,Coin-type eccentric rotating mass motor — DRV2605L-controlled — surface-mounted inside TPU underside layer — vibrates briefly on successful gesture detection confirming to user the device registered their contraction,3.6,Amazon India
3W 4-Ohm 40mm Round Speaker,2,https://www.amazon.in/s?k=3W+4+ohm+40mm+mini+speaker,Driven by MAX98357A I2S amplifier — plays Claude-generated TTS audio via phone speaker relay and device speaker simultaneously — 40mm diameter fits inside ABS housing,4,Amazon India
5000mAh 3.7V Li-Po Flat Battery,2,https://www.amazon.in/s?k=3000mAh+3.7V+lithium+polymer+flat+battery,Primary power source — flat LiPo format mounts below PCB inside housing — charged via USB-C through MCP73831 — provides approximately 12–15 hours at 200mA average draw,9,Amazon India
Ag/AgCl Dry Electrode Pads 30-Pack,1,https://www.amazon.in/s?k=Ag+AgCl+ECG+electrode+pads+snap+disposable+30+pack,Pre-gelled silver/silver chloride snap pads — used during calibration and initial testing before finalizing dry contact design — same product as ECG pads — works identically for EMG,4,Amazon India
Velcro Hook-and-Loop Strap 25mm 2m,1,https://www.amazon.in/s?k=velcro+hook+loop+strap+25mm,Adjustable forearm strap system — maintains consistent electrode contact pressure across different arm sizes — 25mm width — cut to 280mm per device,1.5,Amazon India
M2—4mm Stainless Steel Screws,20,https://www.amazon.in/s?k=M2+screws+stainless+steel+4mm,Secures ABS top shell to TPU underside layer — 4 screws per device — M2 thread — 4mm length — stainless to resist sweat corrosion,1,Amazon India
Aluminium Centre-Bar Buckle 25mm,4,https://www.amazon.in/s?k=aluminium+centre+bar+buckle+25mm+strap,Anodised aluminium strap adjustment buckle — matte black finish — 25mm slot width — matches strap width — provides secure and repeatable strap tension,2,Amazon India
CH340G USB-UART Programmer Adapter,1,https://www.amazon.in/s?k=CH340+USB+UART+TTL+programmer+adapter,External USB to UART adapter — plugs into 6-pin programming header on PCB — used to flash firmware to ESP32-S3 — required for development and firmware updates,2.5,Amazon India
JST-SH 1.0mm 3-Pin Cable Set 10pcs,1,https://www.amazon.in/s?k=JST+SH+1.0mm+3+pin+cable,Electrode lead wire cables connecting snap pad electrodes to PCB JST connectors — flexible silicone jacket — one per EMG channel,2,Amazon India
Conductive Silver Paste 5g,1,https://www.amazon.in/s?k=conductive+silver+paste+epoxy+5g,Applied to dry electrode contact zones on TPU underside — improves skin-electrode impedance without gel — enables reliable dry electrode operation for reusable contacts,3,Amazon India
Kapton Tape Roll 10mm,1,https://www.amazon.in/s?k=kapton+tape+polyimide+tape+10mm,High-temperature insulating tape for securing battery wires inside housing and insulating any exposed PCB traces near battery terminals — essential for safe assembly,1,Amazon India
LiPo Battery 3.7V 5000mAh 1C Rechargeable Pouch Cell,2,https://amzn.in/d/08sU0pme,"Primary power source; powers ESP32-S3, EMG front-end, audio amplifier, haptic motor, sensors, and peripherals .",18,Amazon India
JST-PH 2-Pin Right Angle Battery Connector,2,https://amzn.in/d/0aA5qPUU,Connects Li-Po battery to PCB .,1,Amazon India
PCB Fabrication 5pcs,1,https://jlcpcb.com,Five bare PCBs fabricated — standard 2-layer FR4 — green soldermask — HASL lead-free finish — minimum track 6mil — minimum hole 0.3mm — ordered alongside PCBA .,4,JLCPCB
JLCPCB SMT Assembly Service,1,https://jlcpcb.com,Assembly and soldering of all PCB components .,75,JLCPCB
SMT Stencil,1,https://jlcpcb.com,Solder paste application stencil for PCB assembly .,15,JLCPCB
